iter	Passed	Remaining
0	33	33424
1	63	31555
2	86	28590
3	109	27242
4	132	26320
5	155	25728
6	176	25010
7	197	24543
8	219	24142
9	240	23831
10	261	23556
11	286	23626
12	308	23416
13	330	23248
14	351	23054
15	372	22930
16	394	22834
17	415	22691
18	438	22634
19	458	22465
20	479	22337
21	500	22256
22	518	22038
23	539	21934
24	559	21835
25	581	21775
26	602	21695
27	623	21632
28	643	21553
29	664	21481
30	688	21511
31	713	21580
32	724	21239
33	745	21193
34	767	21153
35	788	21107
36	802	20898
37	825	20901
38	846	20849
39	866	20792
40	883	20670
41	904	20629
42	921	20503
43	929	20198
44	944	20033
45	964	20007
46	977	19822
47	998	19811
48	1013	19674
49	1035	19678
50	1051	19566
51	1072	19549
52	1089	19465
53	1103	19336
54	1118	19220
55	1140	19218
56	1157	19152
57	1178	19146
58	1200	19152
59	1221	19140
60	1234	19007
61	1254	18982
62	1275	18977
63	1293	18922
64	1308	18824
65	1330	18829
66	1351	18826
67	1372	18808
68	1393	18806
69	1420	18875
70	1437	18812
71	1459	18813
72	1472	18696
73	1493	18694
74	1516	18704
75	1533	18640
76	1550	18589
77	1575	18620
78	1587	18509
79	1610	18523
80	1629	18484
81	1652	18501
82	1674	18505
83	1701	18550
84	1712	18438
85	1737	18464
86	1758	18456
87	1781	18462
88	1790	18325
89	1808	18282
90	1830	18283
91	1844	18206
92	1865	18197
93	1883	18149
94	1906	18162
95	1922	18102
96	1937	18032
97	1951	17961
98	1971	17943
99	1992	17930
100	2004	17843
101	2025	17836
102	2047	17829
103	2069	17825
104	2091	17826
105	2122	17904
106	2153	17972
107	2183	18035
108	2205	18028
109	2239	18115
110	2252	18041
111	2285	18121
112	2301	18066
113	2331	18117
114	2359	18155
115	2382	18156
116	2414	18222
117	2442	18253
118	2462	18227
119	2490	18264
120	2525	18343
121	2556	18400
122	2571	18336
123	2604	18401
124	2626	18384
125	2652	18399
126	2682	18440
127	2717	18514
128	2735	18468
129	2755	18438
130	2783	18466
131	2806	18455
132	2837	18497
133	2859	18477
134	2883	18477
135	2906	18462
136	2935	18493
137	2966	18529
138	2984	18483
139	3005	18463
140	3022	18413
141	3044	18395
142	3054	18307
143	3070	18251
144	3079	18155
145	3090	18076
146	3107	18033
147	3124	17989
148	3136	17913
149	3158	17896
150	3179	17874
151	3190	17799
152	3211	17779
153	3226	17723
154	3247	17701
155	3268	17681
156	3290	17666
157	3311	17647
158	3333	17631
159	3359	17635
160	3392	17676
161	3423	17709
162	3454	17739
163	3478	17733
164	3508	17754
165	3524	17705
166	3551	17712
167	3582	17740
168	3612	17762
169	3637	17757
170	3648	17687
171	3662	17631
172	3681	17600
173	3693	17534
174	3710	17493
175	3728	17457
176	3745	17416
177	3767	17396
178	3787	17371
179	3795	17292
180	3816	17271
181	3834	17232
182	3848	17182
183	3866	17145
184	3887	17125
185	3904	17088
186	3919	17039
187	3936	17003
188	3947	16937
189	3964	16902
190	3982	16868
191	4000	16837
192	4020	16809
193	4031	16750
194	4054	16738
195	4076	16721
196	4088	16664
197	4109	16646
198	4132	16631
199	4153	16615
200	4175	16599
201	4197	16582
202	4214	16548
203	4235	16528
204	4255	16503
205	4276	16482
206	4299	16469
207	4319	16448
208	4334	16403
209	4355	16383
210	4376	16363
211	4393	16331
212	4414	16311
213	4426	16258
214	4447	16237
215	4467	16217
216	4488	16195
217	4509	16175
218	4521	16123
219	4532	16069
220	4543	16015
221	4564	15997
222	4585	15977
223	4608	15963
224	4625	15932
225	4643	15901
226	4664	15884
227	4687	15870
228	4704	15840
229	4725	15820
230	4747	15804
231	4768	15785
232	4782	15743
233	4803	15723
234	4824	15704
235	4841	15673
236	4856	15634
237	4876	15614
238	4897	15594
239	4912	15555
240	4929	15525
241	4937	15465
242	4954	15433
243	4975	15414
244	4996	15398
245	5008	15350
246	5024	15318
247	5039	15279
248	5056	15249
249	5076	15229
250	5088	15184
251	5106	15157
252	5114	15102
253	5135	15082
254	5155	15062
255	5178	15049
256	5195	15021
257	5216	15003
258	5237	14984
259	5258	14966
260	5267	14915
261	5276	14863
262	5293	14834
263	5305	14789
264	5321	14760
265	5339	14732
266	5350	14689
267	5364	14653
268	5386	14636
269	5397	14592
270	5411	14558
271	5429	14530
272	5449	14512
273	5467	14485
274	5478	14442
275	5498	14423
276	5515	14396
277	5535	14376
278	5552	14349
279	5569	14322
280	5590	14304
281	5611	14286
282	5629	14263
283	5646	14235
284	5670	14226
285	5691	14209
286	5712	14191
287	5723	14149
288	5744	14132
289	5766	14117
290	5787	14101
291	5796	14055
292	5807	14013
293	5827	13992
294	5847	13974
295	5861	13941
296	5882	13923
297	5890	13877
298	5911	13858
299	5924	13822
300	5938	13790
301	5953	13759
302	5973	13740
303	5987	13707
304	6004	13681
305	6024	13664
306	6038	13631
307	6058	13612
308	6075	13586
309	6092	13560
310	6108	13533
311	6126	13508
312	6146	13490
313	6163	13464
314	6183	13446
315	6203	13427
316	6223	13409
317	6231	13365
318	6251	13346
319	6261	13306
320	6281	13287
321	6302	13270
322	6314	13234
323	6331	13210
324	6342	13173
325	6357	13144
326	6378	13127
327	6390	13092
328	6411	13075
329	6431	13058
330	6446	13028
331	6460	12998
332	6477	12973
333	6493	12948
334	6510	12924
335	6531	12907
336	6552	12891
337	6561	12850
338	6568	12808
339	6580	12773
340	6594	12743
341	6612	12721
342	6633	12705
343	6657	12696
344	6675	12673
345	6689	12645
346	6711	12629
347	6719	12590
348	6740	12574
349	6749	12534
350	6761	12501
351	6773	12468
352	6788	12442
353	6805	12419
354	6821	12394
355	6843	12379
356	6864	12363
357	6885	12347
358	6906	12331
359	6923	12308
360	6931	12269
361	6944	12239
362	6962	12218
363	6983	12201
364	7004	12185
365	7018	12158
366	7039	12141
367	7051	12110
368	7066	12084
369	7076	12049
370	7098	12034
371	7115	12012
372	7136	11996
373	7159	11983
374	7186	11978
375	7206	11959
376	7223	11936
377	7242	11916
378	7267	11908
379	7295	11903
380	7314	11882
381	7339	11873
382	7348	11838
383	7362	11810
384	7382	11792
385	7398	11767
386	7422	11757
387	7443	11740
388	7472	11736
389	7490	11715
390	7505	11689
391	7520	11663
392	7530	11631
393	7544	11603
394	7567	11591
395	7582	11565
396	7602	11548
397	7628	11538
398	7642	11512
399	7669	11503
400	7686	11482
401	7709	11468
402	7729	11449
403	7748	11431
404	7768	11412
405	7791	11399
406	7811	11380
407	7821	11348
408	7844	11334
409	7866	11320
410	7878	11291
411	7899	11273
412	7919	11255
413	7946	11247
414	7961	11223
415	7970	11189
416	7987	11167
417	8004	11144
418	8026	11129
419	8042	11105
420	8059	11084
421	8077	11063
422	8100	11050
423	8119	11030
424	8132	11003
425	8145	10975
426	8158	10947
427	8177	10929
428	8195	10908
429	8218	10894
430	8238	10876
431	8259	10859
432	8279	10841
433	8290	10812
434	8304	10786
435	8316	10757
436	8333	10736
437	8353	10718
438	8370	10696
439	8384	10671
440	8404	10653
441	8425	10636
442	8440	10612
443	8449	10580
444	8464	10556
445	8489	10545
446	8506	10523
447	8523	10502
448	8550	10493
449	8566	10470
450	8582	10447
451	8604	10431
452	8635	10427
453	8661	10416
454	8672	10387
455	8700	10379
456	8722	10363
457	8750	10355
458	8766	10332
459	8788	10317
460	8819	10311
461	8841	10295
462	8865	10282
463	8873	10250
464	8903	10243
465	8934	10238
466	8959	10225
467	8982	10211
468	9003	10193
469	9034	10188
470	9065	10182
471	9086	10165
472	9120	10161
473	9136	10138
474	9157	10121
475	9175	10100
476	9188	10074
477	9208	10055
478	9219	10027
479	9230	10000
480	9247	9977
481	9258	9949
482	9272	9925
483	9287	9901
484	9307	9883
485	9321	9858
486	9335	9833
487	9345	9804
488	9352	9773
489	9364	9746
490	9384	9728
491	9398	9704
492	9413	9680
493	9433	9662
494	9447	9638
495	9459	9612
496	9479	9593
497	9499	9575
498	9510	9548
499	9530	9530
500	9547	9509
501	9558	9482
502	9572	9458
503	9584	9431
504	9600	9410
505	9616	9388
506	9630	9364
507	9652	9348
508	9660	9319
509	9676	9297
510	9693	9276
511	9713	9258
512	9725	9232
513	9736	9205
514	9747	9179
515	9767	9161
516	9778	9135
517	9786	9106
518	9799	9082
519	9814	9059
520	9834	9041
521	9853	9023
522	9864	8997
523	9881	8976
524	9889	8948
525	9909	8929
526	9924	8907
527	9941	8887
528	9955	8863
529	9966	8838
530	9986	8820
531	9997	8794
532	10013	8773
533	10032	8755
534	10043	8729
535	10063	8711
536	10083	8693
537	10097	8670
538	10111	8648
539	10130	8629
540	10147	8609
541	10155	8581
542	10169	8558
543	10189	8540
544	10200	8515
545	10220	8498
546	10231	8473
547	10239	8446
548	10251	8421
549	10268	8401
550	10281	8378
551	10292	8353
552	10312	8335
553	10323	8311
554	10334	8286
555	10355	8269
556	10371	8248
557	10379	8221
558	10390	8197
559	10410	8179
560	10422	8155
561	10436	8133
562	10445	8107
563	10456	8083
564	10476	8065
565	10488	8042
566	10499	8018
567	10513	7996
568	10528	7975
569	10549	7958
570	10566	7938
571	10583	7919
572	10602	7901
573	10616	7879
574	10625	7853
575	10643	7834
576	10654	7811
577	10668	7789
578	10688	7771
579	10708	7754
580	10729	7737
581	10750	7721
582	10766	7700
583	10792	7688
584	10824	7679
585	10855	7668
586	10879	7654
587	10901	7638
588	10927	7625
589	10944	7605
590	10965	7588
591	10983	7569
592	10997	7548
593	11013	7527
594	11042	7516
595	11065	7500
596	11076	7477
597	11093	7457
598	11104	7434
599	11124	7416
600	11133	7391
601	11155	7375
602	11166	7351
603	11187	7335
604	11205	7316
605	11224	7297
606	11238	7276
607	11254	7256
608	11271	7236
609	11288	7217
610	11307	7199
611	11338	7188
612	11354	7168
613	11374	7150
614	11393	7132
615	11422	7120
616	11453	7109
617	11469	7089
618	11488	7071
619	11504	7051
620	11522	7032
621	11543	7015
622	11562	6997
623	11574	6974
624	11588	6952
625	11599	6929
626	11609	6906
627	11630	6889
628	11644	6868
629	11665	6850
630	11673	6826
631	11685	6803
632	11705	6786
633	11725	6768
634	11743	6750
635	11754	6727
636	11768	6706
637	11776	6682
638	11793	6662
639	11804	6639
640	11824	6622
641	11835	6599
642	11854	6581
643	11871	6562
644	11882	6540
645	11896	6519
646	11908	6496
647	11918	6474
648	11940	6457
649	11959	6439
650	11976	6420
651	11992	6400
652	12003	6378
653	12023	6361
654	12038	6341
655	12059	6323
656	12069	6301
657	12092	6285
658	12117	6270
659	12136	6251
660	12156	6234
661	12173	6215
662	12193	6197
663	12207	6177
664	12224	6158
665	12243	6140
666	12254	6118
667	12268	6097
668	12279	6075
669	12298	6057
670	12319	6040
671	12327	6017
672	12339	5995
673	12350	5973
674	12362	5952
675	12381	5934
676	12393	5912
677	12407	5892
678	12426	5874
679	12445	5856
680	12465	5839
681	12485	5821
682	12505	5804
683	12517	5782
684	12538	5765
685	12557	5747
686	12568	5726
687	12579	5704
688	12599	5687
689	12622	5671
690	12639	5651
691	12647	5629
692	12664	5610
693	12683	5592
694	12700	5573
695	12713	5553
696	12724	5531
697	12740	5512
698	12751	5490
699	12762	5469
700	12782	5452
701	12794	5431
702	12805	5409
703	12819	5389
704	12830	5368
705	12841	5347
706	12855	5327
707	12875	5310
708	12885	5288
709	12899	5268
710	12910	5247
711	12924	5228
712	12945	5210
713	12965	5193
714	12985	5175
715	12996	5154
716	13007	5134
717	13015	5112
718	13024	5090
719	13038	5070
720	13054	5051
721	13074	5034
722	13093	5016
723	13106	4996
724	13125	4978
725	13137	4958
726	13156	4940
727	13168	4919
728	13179	4899
729	13190	4878
730	13209	4861
731	13229	4843
732	13246	4825
733	13257	4804
734	13277	4787
735	13297	4769
736	13311	4750
737	13326	4730
738	13340	4711
739	13360	4694
740	13377	4675
741	13388	4655
742	13408	4637
743	13424	4619
744	13445	4602
745	13464	4584
746	13481	4566
747	13501	4548
748	13509	4527
749	13530	4510
750	13544	4490
751	13559	4471
752	13578	4453
753	13592	4434
754	13606	4415
755	13621	4396
756	13630	4375
757	13644	4356
758	13665	4339
759	13684	4321
760	13698	4302
761	13709	4281
762	13723	4262
763	13742	4245
764	13751	4224
765	13770	4206
766	13785	4187
767	13798	4168
768	13809	4148
